ID,Filename,IoU U-Net (ResNet),IoU U-Net (Transf),IoU SegFormer (FPN),Winner
1,cwt3_6.jpg,0.8851674795150757,0.8699082136154175,0.3991335928440094,U-Net (ResNet)
2,cwt2_65.jpg,0.31820201873779297,0.769662618637085,0.6602352261543274,U-Net (Transf)
3,cwt1_43.jpg,0.8741468191146851,0.965623140335083,0.8682307004928589,U-Net (Transf)
4,cwt4_3.jpg,0.6082350015640259,0.6076825857162476,0.5965821743011475,U-Net (ResNet)
5,cwt2_23.jpg,0.8725268840789795,0.7312873601913452,0.8497756719589233,U-Net (ResNet)
6,cwt2_15.jpg,0.714882493019104,0.20391644537448883,0.0349869467318058,U-Net (ResNet)
7,cwt3_75.jpg,0.7064995765686035,0.5483803153038025,0.4566877782344818,U-Net (ResNet)
8,cwt1_75.jpg,0.9876972436904907,0.43581172823905945,0.9192297458648682,U-Net (ResNet)
9,cwt2_76.jpg,0.787594735622406,0.6884794235229492,0.7877008318901062,SegFormer
10,cwt1_73.jpg,0.8050364255905151,0.9069525003433228,0.7937299609184265,U-Net (Transf)
